customer_id,name,city,signup_date
1,Customer_1,Mumbai,2023-06-24
2,Customer_2,Bangalore,2023-08-27
3,Customer_3,Chennai,2023-09-17
4,Customer_4,Mumbai,2023-12-31
5,Customer_5,Mumbai,2023-06-12
6,Customer_6,Bangalore,2023-02-17
7,Customer_7,Chennai,2023-11-25
8,Customer_8,Chennai,2023-11-24
9,Customer_9,Mumbai,2023-04-26
10,Customer_10,Delhi,2023-12-03
11,Customer_11,Mumbai,2023-12-03
12,Customer_12,Mumbai,2023-08-13
13,Customer_13,Mumbai,2023-12-18
14,Customer_14,Mumbai,2023-11-24
15,Customer_15,Bangalore,2023-05-27
16,Customer_16,Chennai,2023-03-04
17,Customer_17,Bangalore,2023-10-21
18,Customer_18,Bangalore,2023-11-19
19,Customer_19,Bangalore,2023-11-21
20,Customer_20,Mumbai,2023-01-13
21,Customer_21,Delhi,2023-07-08
22,Customer_22,Chennai,2023-10-14
23,Customer_23,Delhi,2023-07-27
24,Customer_24,Bangalore,2023-04-24
25,Customer_25,Bangalore,2023-01-22
26,Customer_26,Delhi,2023-12-15
27,Customer_27,Delhi,2023-08-02
28,Customer_28,Delhi,2023-06-20
29,Customer_29,Bangalore,2023-11-19
30,Customer_30,Bangalore,2023-02-23
31,Customer_31,Chennai,2023-10-25
32,Customer_32,Chennai,2023-11-16
33,Customer_33,Bangalore,2023-05-06
34,Customer_34,Delhi,2023-10-04
35,Customer_35,Delhi,2023-07-23
36,Customer_36,Chennai,2023-07-13
37,Customer_37,Bangalore,2023-06-18
38,Customer_38,Chennai,2023-06-01
39,Customer_39,Chennai,2023-02-04
40,Customer_40,Mumbai,2023-07-03
41,Customer_41,Mumbai,2023-10-13
42,Customer_42,Mumbai,2023-02-26
43,Customer_43,Delhi,2023-08-10
44,Customer_44,Bangalore,2023-10-30
45,Customer_45,Bangalore,2023-06-12
46,Customer_46,Bangalore,2023-01-19
47,Customer_47,Bangalore,2023-09-21
48,Customer_48,Mumbai,2023-10-09
49,Customer_49,Delhi,2023-04-23
50,Customer_50,Delhi,2023-11-23
51,Customer_51,Mumbai,2023-01-30
52,Customer_52,Delhi,2023-05-15
53,Customer_53,Mumbai,2023-03-08
54,Customer_54,Bangalore,2023-03-06
55,Customer_55,Mumbai,2023-10-19
56,Customer_56,Bangalore,2023-01-25
57,Customer_57,Bangalore,2023-02-06
58,Customer_58,Chennai,2023-01-01
59,Customer_59,Mumbai,2023-02-06
60,Customer_60,Chennai,2023-05-21
61,Customer_61,Mumbai,2023-08-20
62,Customer_62,Mumbai,2023-05-16
63,Customer_63,Chennai,2023-07-07
64,Customer_64,Chennai,2023-05-08
65,Customer_65,Mumbai,2023-07-20
66,Customer_66,Delhi,2023-05-07
67,Customer_67,Bangalore,2023-09-14
68,Customer_68,Chennai,2023-06-13
69,Customer_69,Bangalore,2023-02-04
70,Customer_70,Delhi,2023-07-13
71,Customer_71,Delhi,2023-07-10
72,Customer_72,Delhi,2023-04-14
